 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source_Radius	FWHM_Mult	Source_Rad(base)	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	Source-Sky_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4
1	tres-3_Light_20.000secs_R_00000001_out.fit	1.000000	0.000000	57280.568658	2457280.568658	2457280.568542	2457280.574406	NaN	1.052587	71.785949	-14.809517	20.000000	0.000000	0.000000	6.144827	1.400000	6.000000	11.000000	17.000000	0.875112	0.551030	0.886090	0.212019	0.009720	0.010019	0.015334	0.006003	90.033595	54.997821	57.786961	35.318886	51292.734218	448.754730	515.708103	499.718260	516.208103	524.781740	44886.874214	307.144042	146.142748	4405.000000	709.697479	332.496855	4.299047	4.309709	4.288385	337.616059	0.999951	390.104218	610.578187	390.604218	413.921813	18222.628151	264.277139	68.952722	2152.000000	490.661157	340.060924	4.230906	4.248380	4.213431	38.408787	0.998688	786.509296	409.279090	787.009296	615.220910	24097.456067	270.997085	88.921459	2480.000000	529.400000	328.587866	4.302296	4.346819	4.257772	24.379142	0.999014	536.078491	383.580472	536.578491	640.919528	8972.650000	241.037303	37.225151	1178.000000	392.504132	318.350000	4.510998	4.651740	4.370255	18.121840	0.994025
2	tres-3_Light_20.000secs_R_00000002_out.fit	2.000000	0.000000	57280.568944	2457280.568944	2457280.568828	2457280.574692	NaN	1.053211	71.682696	-15.233191	20.000000	0.000000	0.000000	5.946568	1.400000	6.000000	11.000000	17.000000	0.879048	0.540269	0.906266	0.210394	0.009890	0.009983	0.015898	0.005954	88.885338	54.118208	57.004766	35.336205	50475.945890	446.550746	516.016380	502.338542	516.516380	522.161458	44370.767296	308.390206	143.878652	4753.000000	762.928571	366.761006	4.104437	3.975699	4.233174	283.796693	0.995000	390.412002	613.195751	390.912002	411.304249	17705.086393	262.587514	67.425469	2258.000000	537.318182	376.362851	4.129127	3.970552	4.287703	275.495181	0.993896	786.909461	411.871071	787.409461	612.628929	23996.987069	274.197532	87.517152	2454.000000	570.868421	360.368534	4.147211	4.036832	4.257591	279.469906	0.996837	536.472335	386.299888	536.972335	638.200112	8773.872428	235.098021	37.320061	1273.000000	428.844037	348.349794	3.960996	3.710265	4.211728	83.945351	0.983368
3	tres-3_Light_20.000secs_R_00000003_out.fit	3.000000	0.000000	57280.569230	2457280.569230	2457280.569114	2457280.574978	NaN	1.053839	71.579498	-15.233191	20.000000	0.000000	0.000000	6.759373	1.400000	6.000000	11.000000	17.000000	0.865730	0.543403	0.905173	0.208906	0.010765	0.011166	0.017648	0.006825	80.418009	48.665864	51.289094	30.610638	51374.807928	506.240623	514.601823	502.383415	515.101823	522.116585	44476.688889	337.352474	131.840411	3428.000000	684.260563	371.044444	4.534392	4.744443	4.324340	10.424184	0.990213	389.141743	613.225297	389.641743	411.274703	18088.101871	297.733836	60.752591	1614.000000	502.618056	377.006237	4.528532	4.786042	4.271022	14.510338	0.983194	785.350451	411.949572	785.850451	612.550428	24408.847082	302.284457	80.747940	1891.000000	534.272727	363.581489	4.665333	4.935607	4.395059	3.446676	0.986470	535.017346	386.192639	535.517346	638.307361	8877.858974	276.148943	32.148807	946.000000	412.493151	351.685897	4.684680	4.846402	4.522958	12.392923	0.994230
4	tres-3_Light_20.000secs_R_00000004_out.fit	4.000000	0.000000	57280.569512	2457280.569512	2457280.569396	2457280.575260	NaN	1.054463	71.477745	-15.233191	20.000000	0.000000	0.000000	6.046638	1.400000	6.000000	11.000000	17.000000	0.888594	0.535600	0.888411	0.220639	0.010190	0.010152	0.015893	0.006276	87.200953	52.760058	55.898242	35.155969	50295.392002	454.855958	514.013861	501.771848	514.513861	522.728152	44692.193622	315.139509	141.817171	4600.000000	757.646552	372.369021	4.209773	4.043225	4.376322	86.584320	0.993669	388.438876	612.698456	388.938876	411.801544	17542.456897	267.952515	65.468529	2129.000000	535.859649	381.978448	4.181298	4.006950	4.355646	282.973328	0.991429	784.783303	411.368289	785.283303	613.131711	23661.682474	274.568593	86.177673	2550.000000	574.859649	367.301031	4.234358	4.282187	4.186529	8.742976	0.999439	534.378383	385.618102	534.878383	638.881898	9091.252632	244.351140	37.205689	1233.000000	433.321739	354.267368	4.332714	4.307819	4.357610	79.505040	0.999849
5	tres-3_Light_20.000secs_R_00000005_out.fit	5.000000	0.000000	57280.569798	2457280.569798	2457280.569682	2457280.575546	NaN	1.055099	71.374547	-15.233191	20.000000	0.000000	0.000000	6.091587	1.400000	6.000000	11.000000	17.000000	0.889829	0.548041	0.896170	0.209711	0.010225	0.010369	0.016109	0.006196	87.028633	52.853250	55.630005	33.845854	50424.064849	457.964831	512.069986	501.934449	512.569986	522.565551	44868.785408	315.818084	142.071616	4302.000000	751.220339	370.976395	4.250289	4.172537	4.328041	77.203252	0.998355	386.507745	612.829872	387.007745	411.670128	17851.236842	270.207646	66.064884	2193.000000	532.896552	379.006579	4.200860	4.167248	4.234472	78.031697	0.999694	782.820806	411.546653	783.320806	612.953347	23831.484787	276.760224	86.108778	2586.000000	568.085470	364.397566	4.227871	4.275060	4.180683	34.328407	0.996239	532.481977	385.959666	532.981977	638.540334	8741.343220	245.200720	35.649745	1255.000000	426.555556	351.843220	4.354503	4.047669	4.661338	273.299031	0.980072
6	tres-3_Light_20.000secs_R_00000006_out.fit	6.000000	0.000000	57280.570084	2457280.570084	2457280.569968	2457280.575832	NaN	1.055740	71.271344	-15.233191	20.000000	0.000000	0.000000	5.957048	1.400000	6.000000	11.000000	17.000000	0.898142	0.550897	0.905978	0.204026	0.010178	0.010274	0.016090	0.006037	88.244723	53.619890	56.308106	33.797932	49894.581532	447.256423	508.738194	501.831535	509.238194	522.668465	44812.398230	310.673730	144.242638	4586.000000	770.008929	369.898230	4.217367	4.177337	4.257396	280.799365	0.999583	383.178709	612.709560	383.678709	411.790440	17723.154472	263.996985	67.133928	2018.000000	536.142857	377.900407	4.248735	4.264196	4.233273	31.412144	0.999746	779.501392	411.399094	780.001392	613.100906	23716.640449	271.543584	87.340088	2608.000000	580.118182	364.512360	4.344833	4.352854	4.336812	316.551318	0.995346	529.120377	385.683963	529.620377	638.816037	8454.786611	237.924319	35.535613	1184.000000	428.144144	351.974895	3.968789	3.744923	4.192655	284.553607	0.983434
7	tres-3_Light_20.000secs_R_00000007_out.fit	7.000000	0.000000	57280.570370	2457280.570370	2457280.570254	2457280.576118	NaN	1.056385	71.168130	-14.809517	20.000000	0.000000	0.000000	6.108336	1.400000	6.000000	11.000000	17.000000	0.888011	0.537837	0.920249	0.206316	0.010207	0.010210	0.016582	0.006171	86.999950	52.678840	55.497707	33.430390	50519.717664	458.989388	510.258177	501.485426	510.758177	523.014574	44862.066815	315.869698	142.027130	4619.000000	748.610169	368.423163	4.335801	4.295058	4.376545	65.617155	0.999187	384.696923	612.282714	385.196923	412.217286	17668.571754	269.325207	65.603112	2046.000000	531.626087	377.986333	4.287948	4.297280	4.278616	41.977461	0.998292	781.083273	411.004685	781.583273	613.495315	24210.781893	278.802334	86.838519	2266.000000	570.042373	364.866255	4.443228	4.438543	4.447913	284.677865	0.999994	530.827798	385.424669	531.327798	639.075331	8640.364017	245.773167	35.155848	1207.000000	424.966102	351.742678	4.286299	4.421508	4.151091	29.110227	0.985678
8	tres-3_Light_20.000secs_R_00000008_out.fit	8.000000	0.000000	57280.570656	2457280.570656	2457280.570540	2457280.576404	NaN	1.057034	71.064886	-15.233191	20.000000	0.000000	0.000000	6.112563	1.400000	6.000000	11.000000	17.000000	0.875750	0.545945	0.911304	0.204901	0.010026	0.010277	0.016279	0.006102	87.345236	53.120804	55.980761	33.581193	50771.400545	457.780982	510.790881	501.187714	511.290881	523.312286	44463.046809	313.702490	141.736353	4598.000000	749.119658	369.093617	4.309071	4.148767	4.469376	279.240754	0.993863	385.242399	612.085600	385.742399	412.414400	17929.742981	270.768157	66.218063	2054.000000	531.051282	377.805616	4.219108	4.076920	4.361296	278.316003	0.995063	781.628869	410.727026	782.128869	613.772974	24207.647423	276.460234	87.562855	2407.000000	571.905172	363.218557	4.355239	4.331778	4.378699	308.631144	0.997613	531.255788	385.114940	531.755788	639.385060	8634.010142	244.576720	35.301848	1185.000000	423.076271	349.906694	4.244005	4.232915	4.255096	313.813785	0.984059
9	tres-3_Light_20.000secs_R_00000009_out.fit	9.000000	0.000000	57280.570942	2457280.570942	2457280.570826	2457280.576690	NaN	1.057687	70.961721	-14.809517	20.000000	0.000000	0.000000	7.097491	1.400000	6.000000	11.000000	17.000000	0.879808	0.537750	0.911960	0.209664	0.011419	0.011751	0.018772	0.007123	77.045961	45.760574	48.579827	29.435314	51085.836301	531.136008	506.874401	501.294130	507.374401	523.205870	44945.718427	349.205746	128.708416	3425.000000	651.594937	367.128364	4.606041	4.947096	4.264985	1.077022	0.978277	381.377290	612.191790	381.877290	412.308210	17864.679724	315.665718	56.593665	1518.000000	488.704403	376.347926	4.650607	5.064970	4.236244	4.842397	0.967834	777.724906	410.811793	778.224906	613.688207	24366.746939	317.466874	76.753668	1927.000000	516.037736	362.787755	4.644205	5.196236	4.092174	358.338761	0.944864	527.341102	385.253988	527.841102	639.246012	8854.409639	285.789079	30.982323	917.000000	405.841772	349.801205	4.725784	5.070243	4.381326	359.214006	0.978957
10	tres-3_Light_20.000secs_R_00000010_out.fit	10.000000	0.000000	57280.571224	2457280.571224	2457280.571108	2457280.576972	NaN	1.058336	70.859926	-15.233191	20.000000	0.000000	0.000000	6.009786	1.400000	6.000000	11.000000	17.000000	0.856579	0.551955	0.891577	0.209202	0.009559	0.009979	0.015360	0.005882	89.611497	55.308886	58.043766	35.565032	51494.074094	448.027226	503.690571	501.490876	504.190571	523.009124	44108.723849	308.224549	143.105811	5117.000000	754.530973	364.188285	4.109916	4.018083	4.201749	70.618926	0.996719	378.154604	612.396776	378.654604	412.103224	18313.931959	264.069630	69.352663	2266.000000	536.401786	372.884536	4.229599	4.084555	4.374642	71.228669	0.992535	774.441366	411.107435	774.941366	613.392565	24271.241309	273.061329	88.885678	2691.000000	576.221239	361.431493	4.187738	4.122512	4.252965	61.963979	0.996887	524.039640	385.452300	524.539640	639.047700	8908.900826	237.556597	37.502225	1213.000000	428.450450	348.190083	4.278389	4.215318	4.341461	64.501429	0.997806
