 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source_Radius	FWHM_Mult	Source_Rad(base)	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	Source-Sky_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4
1	Kepler-45b-75.000secs.Light.R.00000001_out.fit	1.000000	0.000000	57321.457515	2457321.457515	2457321.457081	2457321.462384	NaN	1.054350	71.496171	-14.809517	75.000000	0.000000	0.000000	5.100037	1.400000	5.000000	9.000000	14.000000	0.166075	0.692630	0.409784	0.428826	0.012577	0.029718	0.020331	0.020778	13.204202	23.306757	20.155761	20.638477	17527.905383	379.552516	465.529012	583.763618	466.029012	440.736382	2910.945946	211.252352	13.779472	832.000000	446.812500	410.425676	3.668475	3.809475	3.527476	347.253147	0.992769	462.443948	449.647514	462.943948	574.852486	7172.480363	221.800311	32.337558	1419.000000	498.109756	410.640483	3.703784	3.916411	3.491157	339.446192	0.976932	548.855006	496.952904	549.355006	527.547096	5094.865497	218.441599	23.323696	1044.000000	474.530120	413.146199	3.132024	2.913221	3.350827	287.044673	0.971813	443.780431	637.925528	444.280431	386.574472	5260.559524	217.135908	24.227036	960.000000	474.682927	410.529762	4.032590	3.932426	4.132753	282.726247	0.996977
2	Kepler-45b-75.000secs.Light.R.00000002_out.fit	2.000000	0.000000	57321.458436	2457321.458436	2457321.458002	2457321.463305	NaN	1.056413	71.163667	-14.386846	75.000000	0.000000	0.000000	5.186375	1.400000	5.000000	9.000000	14.000000	0.165808	0.690940	0.443474	0.396961	0.012945	0.029927	0.021498	0.020113	12.808719	23.087819	20.628706	19.736181	17372.129674	379.887897	465.776910	583.554780	466.276910	440.945220	2880.434343	215.879171	13.342808	798.000000	439.964286	405.673401	3.435420	3.376271	3.494568	49.798223	0.957360	462.954758	449.499435	463.454758	575.000565	7098.476341	221.470826	32.051519	1335.000000	492.939024	406.372240	3.689161	3.863433	3.514890	347.085618	0.989032	549.174126	496.850186	549.674126	527.649814	5337.185841	219.080662	24.361739	1132.000000	470.452381	406.914454	3.544645	3.596261	3.493028	326.366589	0.994323	444.251989	637.739706	444.751989	386.760294	4936.467492	217.414698	22.705307	1084.000000	465.156627	405.681115	3.820155	3.982249	3.658061	338.103639	0.986229
3	Kepler-45b-75.000secs.Light.R.00000003_out.fit	3.000000	0.000000	57321.459358	2457321.459358	2457321.458924	2457321.464227	NaN	1.058520	70.831076	-14.809517	75.000000	0.000000	0.000000	4.729824	1.400000	5.000000	9.000000	14.000000	0.168149	0.702377	0.430440	0.401540	0.011498	0.027392	0.018924	0.018218	14.624541	25.641600	22.746072	22.040401	17539.654770	345.239773	466.427101	583.402010	466.927101	441.097990	2949.271186	193.129850	15.270924	857.000000	446.115942	403.372881	3.114397	2.912851	3.315942	89.932297	0.983388	463.216055	449.336378	463.716055	575.163622	7236.617021	202.850332	35.674662	1506.000000	502.757143	399.376900	3.571270	3.585094	3.557447	320.778728	0.998507	549.559747	496.618927	550.059747	527.881073	5277.938080	197.433575	26.732728	1237.000000	478.869565	402.377709	3.341013	3.310876	3.371151	309.866539	0.989756	444.571523	637.552743	445.071523	386.947257	5025.099668	197.641664	25.425305	1160.000000	474.043478	401.215947	3.450180	3.631118	3.269242	340.261388	0.981637
4	Kepler-45b-75.000secs.Light.R.00000004_out.fit	4.000000	0.000000	57321.460279	2457321.460279	2457321.459845	2457321.465148	NaN	1.060671	70.498568	-15.233191	75.000000	0.000000	0.000000	5.134188	1.400000	5.000000	9.000000	14.000000	0.156825	0.669417	0.442581	0.412855	0.012535	0.028611	0.021145	0.020142	12.510521	23.397153	20.930968	20.496911	17379.869948	373.531303	466.364754	583.256194	466.864754	441.243806	2725.601266	209.841671	12.988847	763.000000	433.121951	399.882911	2.973218	3.446168	2.500268	4.308588	0.901510	463.326049	449.396668	463.826049	575.103332	6969.130564	217.876206	31.986653	1226.000000	482.158537	397.169139	3.844002	3.884682	3.803321	322.355468	0.993055	549.511398	496.807067	550.011398	527.692933	5332.106796	216.141256	24.669547	1037.000000	463.792683	398.766990	3.708019	3.667249	3.748788	291.221505	0.999112	444.666855	637.667841	445.166855	386.832159	5078.632588	212.928510	23.851351	966.000000	457.469136	394.769968	3.672412	3.671008	3.673815	314.548048	0.997653
5	Kepler-45b-75.000secs.Light.R.00000005_out.fit	5.000000	0.000000	57321.461202	2457321.461202	2457321.460768	2457321.466071	NaN	1.062870	70.165606	-15.233191	75.000000	0.000000	0.000000	4.805586	1.400000	5.000000	9.000000	14.000000	0.151991	0.634950	0.466116	0.415856	0.011849	0.025934	0.020490	0.019160	12.826929	24.482944	22.748264	21.704740	17257.682898	350.631946	466.893164	582.983797	467.393164	441.516203	2623.012500	197.426206	13.286040	755.000000	434.364865	398.918750	2.798139	3.004687	2.591592	17.517850	0.967842	463.755087	449.042528	464.255087	575.457472	6702.202346	206.185983	32.505616	1224.000000	488.121622	397.551320	3.353501	3.434205	3.272796	334.226583	0.994017	550.231908	496.340664	550.731908	528.159336	5486.662651	200.485869	27.366830	1065.000000	472.263889	396.060241	3.562314	3.495900	3.628729	304.035146	0.990039	445.272590	637.245097	445.772590	387.254903	5068.817901	200.587931	25.269805	1025.000000	462.506849	393.070988	3.793504	3.795453	3.791556	43.870990	0.999320
6	Kepler-45b-75.000secs.Light.R.00000006_out.fit	6.000000	0.000000	57321.462123	2457321.462123	2457321.461689	2457321.466992	NaN	1.065110	69.833087	-15.233191	75.000000	0.000000	0.000000	4.725629	1.400000	5.000000	9.000000	14.000000	0.164582	0.677539	0.447091	0.402825	0.011825	0.027262	0.019923	0.018695	13.917640	24.852731	22.440572	21.546934	16862.643326	340.963033	467.107312	583.253347	467.607312	441.246653	2775.286624	191.349007	14.503794	727.000000	434.857143	395.210191	3.506311	3.730685	3.281937	326.460849	0.892897	464.242067	449.015296	464.742067	575.484704	6810.632530	200.423618	33.981187	1253.000000	490.785714	393.490964	3.421385	3.555873	3.286897	332.947625	0.982076	550.529752	496.420917	551.029752	528.079083	5209.856250	195.757341	26.613849	1138.000000	470.173913	394.668750	3.349737	3.138344	3.561130	293.838469	0.965139	445.577622	637.419680	446.077622	387.080320	4842.154545	194.332773	24.916819	989.000000	464.724638	394.548485	3.191967	3.012103	3.371832	274.106698	0.987116
7	Kepler-45b-75.000secs.Light.R.00000007_out.fit	7.000000	0.000000	57321.463045	2457321.463045	2457321.462611	2457321.467913	NaN	1.067396	69.500581	-14.809517	75.000000	0.000000	0.000000	5.047606	1.400000	5.000000	9.000000	14.000000	0.164458	0.673310	0.433740	0.418629	0.012648	0.028697	0.020840	0.020259	13.003184	23.463035	20.812570	20.664089	17069.403888	366.046675	467.887765	582.909617	468.387765	441.590383	2807.196774	207.322293	13.540255	737.000000	427.814815	393.158065	3.380364	3.796513	2.964215	4.287937	0.939837	464.717622	448.683946	465.217622	575.816054	6868.425150	213.634546	32.150349	1223.000000	476.762500	390.907186	3.440512	3.554839	3.326184	355.519781	0.995483	551.106722	496.015590	551.606722	528.484410	5163.896142	211.605732	24.403385	995.000000	457.950617	394.198813	3.417281	3.531409	3.303153	333.733706	0.987970	446.343890	636.956591	446.843890	387.543409	5037.082596	208.742576	24.130595	968.000000	452.612500	389.648968	3.812827	3.538969	4.086685	68.914235	0.962817
8	Kepler-45b-75.000secs.Light.R.00000008_out.fit	8.000000	0.000000	57321.463966	2457321.463966	2457321.463532	2457321.468835	NaN	1.069729	69.167958	-14.809517	75.000000	0.000000	0.000000	5.050441	1.400000	5.000000	9.000000	14.000000	0.165633	0.709645	0.458753	0.370678	0.012278	0.029607	0.021201	0.018797	13.489791	23.968736	21.638594	19.720176	17489.326023	369.573124	467.966527	582.618366	468.466527	441.881634	2896.801242	205.830781	14.073703	704.000000	431.312500	395.102484	3.071483	2.886630	3.256337	53.882054	0.845475	465.011343	448.425615	465.511343	576.074385	7259.526316	215.016722	33.762613	1145.000000	481.112500	390.368421	3.890882	3.856389	3.925376	307.416240	0.995409	551.013603	495.847200	551.513603	528.652800	5500.095092	213.124116	25.807005	939.000000	462.592593	394.690184	3.729636	3.867541	3.591732	339.435630	0.990388	446.219695	636.858163	446.719695	387.641837	4729.704615	211.967484	22.313350	914.000000	449.073171	391.393846	3.625612	3.819271	3.431954	337.446994	0.977221
9	Kepler-45b-75.000secs.Light.R.00000009_out.fit	9.000000	0.000000	57321.464887	2457321.464887	2457321.464453	2457321.469756	NaN	1.072106	68.835611	-14.809517	75.000000	0.000000	0.000000	4.985099	1.400000	5.000000	9.000000	14.000000	0.159934	0.657411	0.422885	0.441230	0.012084	0.027181	0.019757	0.020393	13.235077	24.186678	21.404786	21.635902	17492.884935	363.150238	468.783072	582.375452	469.283072	442.124548	2797.713376	203.250685	13.764841	716.000000	431.294872	395.426752	2.948820	3.207162	2.690479	10.599830	0.965216	465.793474	448.249531	466.293474	576.250469	6938.539823	211.088383	32.870306	1155.000000	480.961538	392.005900	3.471875	3.510322	3.433429	325.300208	0.996039	552.029337	495.532417	552.529337	528.967583	5198.927052	207.656369	25.036203	959.000000	459.576923	392.924012	3.465057	3.475574	3.454540	315.693031	0.937021	447.113093	636.665279	447.613093	387.834721	5355.418060	210.234684	25.473523	911.000000	456.632911	388.842809	3.945014	4.050083	3.839946	4.834443	0.997084
10	Kepler-45b-75.000secs.Light.R.00000010_out.fit	10.000000	0.000000	57321.465810	2457321.465810	2457321.465376	2457321.470679	NaN	1.074534	68.502650	-15.233191	75.000000	0.000000	0.000000	5.088487	1.400000	5.000000	9.000000	14.000000	0.160455	0.658693	0.451644	0.411947	0.012604	0.028559	0.021700	0.020456	12.730117	23.064538	20.812619	20.138631	16977.156176	369.889248	468.713375	582.635681	469.213375	441.864319	2724.076923	205.591432	13.249954	650.000000	427.387500	393.336538	2.913794	2.432911	3.394677	279.158640	0.885437	465.698611	448.381429	466.198611	576.118571	6741.897436	214.635793	31.410872	1073.000000	475.450000	391.176282	3.749542	3.783926	3.715159	320.167430	0.989551	552.128529	495.807096	552.628529	528.692904	5282.032154	214.136199	24.666694	890.000000	455.878049	391.463023	3.703251	3.784302	3.622201	336.153051	0.995775	447.066018	636.688555	447.566018	387.811445	4953.226586	211.884922	23.376966	793.000000	450.707317	390.302115	3.970467	4.134437	3.806497	25.985209	0.982087
