 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	X(IJ)	Y(IJ)	X(FITS)	Y(FITS)	Source-Sky	Source_Error	Source_SNR	Peak	Mean	Sky/Pixel	Width	X-Width	Y-Width	Angle	Roundness
1	pulsar-101.fit	1.000000	0.000000	56941.432503	2456941.432503	NaN	NaN	NaN	NaN	NaN	-24.062500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1367.639329	2418.474093	0.565497	2024.000000	1999.717524	1999.121343	36.377053	35.187538	37.566568	68.555994	0.992050
2	pulsar-102.fit	2.000000	0.000000	56941.432514	2456941.432514	NaN	NaN	NaN	NaN	NaN	-24.062500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	967.216625	2431.740301	0.397747	2026.000000	1999.946818	1999.525189	40.100048	34.167807	46.032289	282.422431	-13.486121
3	pulsar-103.fit	3.000000	0.000000	56941.432526	2456941.432526	NaN	NaN	NaN	NaN	NaN	-24.062500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1522.771394	2420.258436	0.629177	2028.000000	1999.820837	1999.157031	25.660170	20.143563	31.176776	73.265798	0.757278
4	pulsar-104.fit	4.000000	0.000000	56941.432538	2456941.432538	NaN	NaN	NaN	NaN	NaN	-24.125000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1123.575091	2420.664747	0.464160	2024.000000	1999.668265	1999.178476	35.490069	28.434308	42.545831	271.852034	0.853080
5	pulsar-105.fit	5.000000	0.000000	56941.432549	2456941.432549	NaN	NaN	NaN	NaN	NaN	-24.125000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	3883135.779990	3125.662914	1242.339909	8971.000000	3699.717524	2006.981787	24.346666	22.880816	25.812516	78.010801	0.982757
6	pulsar-106.fit	6.000000	0.000000	56941.432572	2456941.432572	NaN	NaN	NaN	NaN	NaN	-24.125000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1751.420641	2416.035401	0.724915	2021.000000	2000.328248	1999.564769	31.659789	34.918342	28.401235	10.769805	0.952046
7	pulsar-107.fit	7.000000	0.000000	56941.432584	2456941.432584	NaN	NaN	NaN	NaN	NaN	-24.125000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1738.285902	2417.138022	0.719150	2025.000000	2000.165214	1999.407460	31.829537	25.541784	38.117290	67.182031	0.704255
8	pulsar-108.fit	8.000000	0.000000	56941.432595	2456941.432595	NaN	NaN	NaN	NaN	NaN	-24.187500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1289.811569	2423.276065	0.532259	2027.000000	1999.973409	1999.411155	40.930795	40.969791	40.891799	44.170871	0.995664
9	pulsar-109.fit	9.000000	0.000000	56941.432607	2456941.432607	NaN	NaN	NaN	NaN	NaN	-24.187500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	693.287631	2423.047069	0.286122	2024.000000	1999.751962	1999.449744	32.277684	30.459140	34.096227	50.951951	0.703466
10	pulsar-110.fit	10.000000	0.000000	56941.432619	2456941.432619	NaN	NaN	NaN	NaN	NaN	-24.187500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1457.235817	2419.559064	0.602273	2028.000000	2000.483435	1999.848197	24.683980	10.096145	39.271814	289.519682	-0.272029
