0,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,Source_Radius,Sky_Rad(min),Sky_Rad(max),X(IJ),Y(IJ),X(FITS),Y(FITS),Source-Sky,Source_Error,Source_SNR,Peak,Mean,Sky/Pixel,Width,X-Width,Y-Width,Angle,Roundness
1,pulsar-101.fit,1,0,"56,941.432503","2,456,941.432503",NaN,NaN,NaN,NaN,NaN,-24.0625,0.5,NaN,NaN,20,35,53,98.786543,315.396752,99.286543,197.103248,"1,107.731179","1,789.863276",0.618892,"2,023","1,999.925159","1,999.043208",28.689744,24.497695,32.881794,270.81777,0.918066
2,pulsar-102.fit,2,0,"56,941.432514","2,456,941.432514",NaN,NaN,NaN,NaN,NaN,-24.0625,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,"1,106.979714","1,796.417726",0.616215,"2,022","2,000.117647","1,999.237695",24.920054,20.922431,28.917677,271.995107,0.901688
3,pulsar-103.fit,3,0,"56,941.432526","2,456,941.432526",NaN,NaN,NaN,NaN,NaN,-24.0625,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,"1,331.100742","1,796.712472",0.740854,"2,028","2,000.218601","1,999.160492",23.093592,21.589674,24.597509,70.75315,0.972541
4,pulsar-104.fit,4,0,"56,941.432538","2,456,941.432538",NaN,NaN,NaN,NaN,NaN,-24.125,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,885.595832,"1,792.57961",0.494034,"2,021","1,999.701113","1,998.997142",25.226725,18.382158,32.071293,86.952373,0.741621
5,pulsar-105.fit,5,0,"56,941.432549","2,456,941.432549",NaN,NaN,NaN,NaN,NaN,-24.125,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,"3,667,938.769581","2,625.551339","1,397.016587","8,971","4,927.620032","2,011.929436",22.740285,21.734654,23.745917,82.30964,0.991618
6,pulsar-106.fit,6,0,"56,941.432572","2,456,941.432572",NaN,NaN,NaN,NaN,NaN,-24.125,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,"1,360.086535","1,800.391064",0.75544,"2,021","2,000.646264","1,999.565114",26.403753,27.80551,25.001997,35.64005,0.891163
7,pulsar-107.fit,7,0,"56,941.432584","2,456,941.432584",NaN,NaN,NaN,NaN,NaN,-24.125,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,"1,211.379493","1,795.198584",0.674789,"2,025","2,000.469793","1,999.506853",25.309388,24.706848,25.911928,307.145099,0.969112
9,pulsar-108.fit,8,0,"56,941.432595","2,456,941.432595",NaN,NaN,NaN,NaN,NaN,-24.1875,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,833.48004,"1,790.917287",0.465393,"2,023","1,999.875199","1,999.212655",30.223062,25.267611,35.178513,65.367485,0.760523
10,pulsar-109.fit,9,0,"56,941.432607","2,456,941.432607",NaN,NaN,NaN,NaN,NaN,-24.1875,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,-79.866031,"1,797.185417",-0.04444,"2,024","1,999.780604","1,999.844091",16.120153,15.071905,17.168401,87.098449,-59.239088
11,pulsar-110.fit,10,0,"56,941.432619","2,456,941.432619",NaN,NaN,NaN,NaN,NaN,-24.1875,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,"1,219.829932","1,792.013705",0.680703,"2,028","2,000.877583","1,999.907925",25.219339,25.200106,25.238571,314.89349,0.831707
12,pulsar-111.fit,11,0,"56,941.43263","2,456,941.43263",NaN,NaN,NaN,NaN,NaN,-24.1875,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,"1,023.362391","1,788.736744",0.572115,"2,029","2,000.345787","1,999.532303",28.480163,28.411616,28.54871,313.577273,0.990597
13,pulsar-112.fit,12,0,"56,941.432653","2,456,941.432653",NaN,NaN,NaN,NaN,NaN,-24.1875,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,"4,019,821.38781","2,692.965936","1,492.711562","9,601","5,208.732909","2,013.326401",22.73864,21.744644,23.732636,81.821183,0.99173
14,pulsar-113.fit,13,0,"56,941.432665","2,456,941.432665",NaN,NaN,NaN,NaN,NaN,-24.25,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,"2,049.94783","1,792.806309",1.14343,"2,028","2,001.077107","1,999.447577",26.935519,30.026671,23.844367,11.91073,0.938677
15,pulsar-114.fit,14,0,"56,941.432677","2,456,941.432677",NaN,NaN,NaN,NaN,NaN,-24.25,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,"1,367.848092","1,796.279533",0.76149,"2,027","2,000.251192","1,999.163873",26.779793,25.332631,28.226955,83.623549,0.987792
16,pulsar-115.fit,15,0,"56,941.432688","2,456,941.432688",NaN,NaN,NaN,NaN,NaN,-24.25,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,"1,323.422267","1,790.188802",0.739264,"2,024","2,000.488871","1,999.436866",23.437203,16.139023,30.735384,272.764127,0.674657
17,pulsar-116.fit,16,0,"56,941.4327","2,456,941.4327",NaN,NaN,NaN,NaN,NaN,-24.3125,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,434.743436,"1,790.036868",0.242868,"2,024","1,999.997615","1,999.652032",15.115243,6.717651,23.512835,273.923697,-0.413469
18,pulsar-117.fit,17,0,"56,941.432711","2,456,941.432711",NaN,NaN,NaN,NaN,NaN,-24.3125,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,"4,253,795.423998","2,736.0838","1,554.702171","10,209","5,395.175676","2,013.780267",22.738514,21.743083,23.733945,81.585178,0.991665
19,pulsar-118.fit,18,0,"56,941.432723","2,456,941.432723",NaN,NaN,NaN,NaN,NaN,-24.3125,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,"1,184.831657","1,795.119407",0.660029,"2,023","2,000.581876","1,999.640038",25.417599,18.410434,32.424764,276.543096,0.723239
20,pulsar-119.fit,19,0,"56,941.432746","2,456,941.432746",NaN,NaN,NaN,NaN,NaN,-24.375,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,"1,319.435726","1,791.896364",0.736335,"2,024","2,000.158188","1,999.109352",31.190688,29.730451,32.650925,61.35685,0.970115
21,pulsar-120.fit,20,0,"56,941.432758","2,456,941.432758",NaN,NaN,NaN,NaN,NaN,-24.375,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,"1,054.867886","1,789.161517",0.589588,"2,023","2,000.377583","1,999.539056",24.09087,20.637911,27.543829,70.762962,0.871272
22,pulsar-121.fit,21,0,"56,941.432769","2,456,941.432769",NaN,NaN,NaN,NaN,NaN,-24.375,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,734.173128,"1,794.194716",0.409194,"2,021","2,000.096979","1,999.513376",26.678896,17.168292,36.189501,83.397671,0.577813
23,pulsar-122.fit,22,0,"56,941.432781","2,456,941.432781",NaN,NaN,NaN,NaN,NaN,-24.375,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,"1,194.197494","1,795.681024",0.665039,"2,026","2,000.36566","1,999.416377",25.676416,22.209776,29.143057,85.42688,0.927851
24,pulsar-123.fit,23,0,"56,941.432792","2,456,941.432792",NaN,NaN,NaN,NaN,NaN,-24.375,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,804.270867,"1,792.182524",0.448766,"2,027","2,000.518283","1,999.878958",19.837074,15.425918,24.24823,285.423322,0.756351
25,pulsar-124.fit,24,0,"56,941.432804","2,456,941.432804",NaN,NaN,NaN,NaN,NaN,-24.4375,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,"4,741,648.324026","2,823.617229","1,679.281553","11,021","5,784.608903","2,015.413097",22.730705,21.733323,23.728087,81.482737,0.991608
26,pulsar-125.fit,25,0,"56,941.432827","2,456,941.432827",NaN,NaN,NaN,NaN,NaN,-24.4375,0.5,NaN,NaN,20,35,53,98.192575,317.178654,98.692575,195.321346,"1,632.717212","1,791.118259",0.911563,"2,023","2,000.461049","1,999.163182",25.421637,22.390138,28.453136,272.270303,0.944354
